,all_time_quantity_sold,product_id,seller_id,category_id,brand_id
534,389,174029994,65836,1828,19073
535,2978,53254176,65686,1846,111461
536,2725,124742926,1,2458,17827
537,1630,134641513,49929,1828,18845
538,935,416978,154163,4294,27464
539,2221,419322,1,1846,18806
540,7,12477248,329374,4642,111461
541,976,74573141,154163,4293,27464
542,2422,17967481,129537,4343,25422
543,2137,76030024,154163,1846,27464
544,249,65107101,25203,28840,18802
545,1398,806744,45,1828,111460
546,184,416911,154163,4294,27464
547,352,73312665,25203,28840,18845
548,383,68600962,95215,5350,505907
549,1516,97346988,1,1846,25422
550,848,53181542,65686,28944,111461
551,87,709035,217686,4454,112149
552,1019,32246331,65686,28944,111461
553,1074,67619329,27572,28906,18991
554,726,74561661,154163,4294,27464
555,212,9979633,73012,28920,111461
556,288,110055062,73012,5350,111461
557,3469,53704413,65686,1846,111461
558,884,44012580,25203,1846,18802
559,258,44012841,25203,2679,18802
560,101,136981085,49929,1828,927055
561,408,15215426,73012,28900,111461
562,2727,138481685,1,6255,19246
563,143,187392403,25203,28840,18802
564,321,74311543,154163,4293,27464
565,957,10001369,25203,2679,18802
566,2244,38323087,25203,28842,21862
567,1120,26314426,73012,4642,111461
568,9979,134561311,783,1828,18845
569,2638,8608925,65686,28944,111461
570,490,46634155,73012,4642,111461
571,297,173164642,73012,4642,195495
572,255,217317583,25203,5350,110682
573,353,171869909,73012,4642,195495
574,142,216462048,25203,5350,110682
575,726,21089128,154163,4294,27464
576,4325,74975883,154163,4293,27464
577,2917,54439144,154163,1846,27464
578,2312,52373199,65686,28944,111461
579,1696,160440903,65836,1828,19073
580,378,25319983,49929,1828,18845
581,4325,74975883,154163,4293,27464
582,2917,54439144,154163,1846,27464
583,2312,52373199,65686,28944,111461
584,1696,160440903,65836,1828,19073
585,378,25319983,49929,1828,18845
586,703,24255305,64160,1846,111461
587,389,174029994,65836,1828,19073
588,2978,53254176,65686,1846,111461
589,2725,124742926,1,2458,17827
590,1630,134641513,49929,1828,18845
591,935,416978,154163,4294,27464
592,2221,419322,1,1846,18806
593,7,12477248,329374,4642,111461
594,976,74573141,154163,4293,27464
595,2422,17967481,129537,4343,25422
596,2137,76030024,154163,1846,27464
597,249,65107101,25203,28840,18802
598,1398,806744,45,1828,111460
599,184,416911,154163,4294,27464
600,352,73312665,25203,28840,18845
601,383,68600962,95215,5350,505907
602,1516,97346988,1,1846,25422
603,848,53181542,65686,28944,111461
604,87,709035,217686,4454,112149
605,1019,32246331,65686,28944,111461
606,1074,67619329,27572,28906,18991
607,726,74561661,154163,4294,27464
608,212,9979633,73012,28920,111461
609,288,110055062,73012,5350,111461
610,3469,53704413,65686,1846,111461
611,884,44012580,25203,1846,18802
612,258,44012841,25203,2679,18802
613,101,136981085,49929,1828,927055
614,408,15215426,73012,28900,111461
615,2727,138481685,1,6255,19246
616,143,187392403,25203,28840,18802
617,321,74311543,154163,4293,27464
618,957,10001369,25203,2679,18802
619,2244,38323087,25203,28842,21862
620,1120,26314426,73012,4642,111461
621,9979,134561311,783,1828,18845
622,2638,8608925,65686,28944,111461
623,490,46634155,73012,4642,111461
624,297,173164642,73012,4642,195495
625,255,217317583,25203,5350,110682
626,353,171869909,73012,4642,195495
627,142,216462048,25203,5350,110682
628,726,21089128,154163,4294,27464
629,4325,74975883,154163,4293,27464
630,2917,54439144,154163,1846,27464
631,2312,52373199,65686,28944,111461
632,1696,160440903,65836,1828,19073
633,378,25319983,49929,1828,18845
634,703,24255305,64160,1846,111461
635,389,174029994,65836,1828,19073
636,2978,53254176,65686,1846,111461
637,2725,124742926,1,2458,17827
638,1630,134641513,49929,1828,18845
639,935,416978,154163,4294,27464
640,2221,419322,1,1846,18806
641,7,12477248,329374,4642,111461
642,976,74573141,154163,4293,27464
643,2422,17967481,129537,4343,25422
644,2137,76030024,154163,1846,27464
645,249,65107101,25203,28840,18802
646,1398,806744,45,1828,111460
647,184,416911,154163,4294,27464
648,352,73312665,25203,28840,18845
649,383,68600962,95215,5350,505907
650,1516,97346988,1,1846,25422
651,848,53181542,65686,28944,111461
652,87,709035,217686,4454,112149
653,1019,32246331,65686,28944,111461
654,1074,67619329,27572,28906,18991
655,726,74561661,154163,4294,27464
656,212,9979633,73012,28920,111461
657,288,110055062,73012,5350,111461
658,3469,53704413,65686,1846,111461
659,884,44012580,25203,1846,18802
660,258,44012841,25203,2679,18802
661,101,136981085,49929,1828,927055
662,408,15215426,73012,28900,111461
663,2727,138481685,1,6255,19246
664,143,187392403,25203,28840,18802
665,321,74311543,154163,4293,27464
666,957,10001369,25203,2679,18802
667,2244,38323087,25203,28842,21862
668,1120,26314426,73012,4642,111461
669,9979,134561311,783,1828,18845
670,2638,8608925,65686,28944,111461
671,490,46634155,73012,4642,111461
672,297,173164642,73012,4642,195495
673,255,217317583,25203,5350,110682
674,353,171869909,73012,4642,195495
675,142,216462048,25203,5350,110682
676,726,21089128,154163,4294,27464
677,4325,74975883,154163,4293,27464
678,2917,54439144,154163,1846,27464
679,2312,52373199,65686,28944,111461
680,1696,160440903,65836,1828,19073
681,378,25319983,49929,1828,18845
682,703,24255305,64160,1846,111461
683,389,174029994,65836,1828,19073
684,2978,53254176,65686,1846,111461
685,2725,124742926,1,2458,17827
686,1630,134641513,49929,1828,18845
687,935,416978,154163,4294,27464
688,2221,419322,1,1846,18806
689,7,12477248,329374,4642,111461
690,976,74573141,154163,4293,27464
691,2422,17967481,129537,4343,25422
692,2137,76030024,154163,1846,27464
693,249,65107101,25203,28840,18802
694,1398,806744,45,1828,111460
695,184,416911,154163,4294,27464
696,352,73312665,25203,28840,18845
697,383,68600962,95215,5350,505907
698,1516,97346988,1,1846,25422
699,848,53181542,65686,28944,111461
700,87,709035,217686,4454,112149
701,2137,76030024,154163,1846,27464
702,249,65107101,25203,28840,18802
703,1398,806744,45,1828,111460
704,184,416911,154163,4294,27464
705,352,73312665,25203,28840,18845
706,383,68600962,95215,5350,505907
707,1516,97346988,1,1846,25422
708,848,53181542,65686,28944,111461
709,87,709035,217686,4454,112149
710,1019,32246331,65686,28944,111461
711,1074,67619329,27572,28906,18991
712,726,74561661,154163,4294,27464
713,212,9979633,73012,28920,111461
714,288,110055062,73012,5350,111461
715,3469,53704413,65686,1846,111461
716,884,44012580,25203,1846,18802
717,258,44012841,25203,2679,18802
718,101,136981085,49929,1828,927055
719,408,15215426,73012,28900,111461
720,2727,138481685,1,6255,19246
721,143,187392403,25203,28840,18802
722,321,74311543,154163,4293,27464
723,957,10001369,25203,2679,18802
724,2244,38323087,25203,28842,21862
725,1120,26314426,73012,4642,111461
726,9979,134561311,783,1828,18845
727,2638,8608925,65686,28944,111461
728,490,46634155,73012,4642,111461
729,297,173164642,73012,4642,195495
730,255,217317583,25203,5350,110682
731,353,171869909,73012,4642,195495
732,142,216462048,25203,5350,110682
733,726,21089128,154163,4294,27464
734,4325,74975883,154163,4293,27464
735,2917,54439144,154163,1846,27464
736,2312,52373199,65686,28944,111461
737,1696,160440903,65836,1828,19073
738,378,25319983,49929,1828,18845
739,703,24255305,64160,1846,111461
740,389,174029994,65836,1828,19073
741,2978,53254176,65686,1846,111461
742,2725,124742926,1,2458,17827
743,1630,134641513,49929,1828,18845
744,935,416978,154163,4294,27464
745,2221,419322,1,1846,18806
746,7,12477248,329374,4642,111461
747,976,74573141,154163,4293,27464
748,2422,17967481,129537,4343,25422
749,2137,76030024,154163,1846,27464
750,249,65107101,25203,28840,18802
751,1398,806744,45,1828,111460
752,184,416911,154163,4294,27464
753,352,73312665,25203,28840,18845
754,383,68600962,95215,5350,505907
755,1516,97346988,1,1846,25422
756,848,53181542,65686,28944,111461
757,87,709035,217686,4454,112149
758,1019,32246331,65686,28944,111461
759,1074,67619329,27572,28906,18991
760,726,74561661,154163,4294,27464
761,212,9979633,73012,28920,111461
762,288,110055062,73012,5350,111461
763,3469,53704413,65686,1846,111461
764,884,44012580,25203,1846,18802
765,258,44012841,25203,2679,18802
766,101,136981085,49929,1828,927055
767,408,15215426,73012,28900,111461
768,2727,138481685,1,6255,19246
769,143,187392403,25203,28840,18802
770,321,74311543,154163,4293,27464
771,957,10001369,25203,2679,18802
772,2244,38323087,25203,28842,21862
773,1120,26314426,73012,4642,111461
774,9979,134561311,783,1828,18845
775,2638,8608925,65686,28944,111461
776,490,46634155,73012,4642,111461
777,297,173164642,73012,4642,195495
778,255,217317583,25203,5350,110682
779,353,171869909,73012,4642,195495
780,142,216462048,25203,5350,110682
781,726,21089128,154163,4294,27464
782,4325,74975883,154163,4293,27464
783,2917,54439144,154163,1846,27464
784,2312,52373199,65686,28944,111461
785,1696,160440903,65836,1828,19073
786,378,25319983,49929,1828,18845
787,703,24255305,64160,1846,111461
788,389,174029994,65836,1828,19073
789,2978,53254176,65686,1846,111461
790,2725,124742926,1,2458,17827
791,1630,134641513,49929,1828,18845
792,935,416978,154163,4294,27464
793,2221,419322,1,1846,18806
794,7,12477248,329374,4642,111461
795,976,74573141,154163,4293,27464
796,2422,17967481,129537,4343,25422
797,2137,76030024,154163,1846,27464
798,249,65107101,25203,28840,18802
799,1398,806744,45,1828,111460
800,184,416911,154163,4294,27464
801,352,73312665,25203,28840,18845
802,383,68600962,95215,5350,505907
803,1516,97346988,1,1846,25422
804,848,53181542,65686,28944,111461
805,87,709035,217686,4454,112149
806,1019,32246331,65686,28944,111461
